State	State Code	ZCTA	Congressional District Number	CD	2016 House Margin
TX	48	79938	23	TX23	1.3
TX	48	79942	23	TX23	1.3
TX	48	88220	23	TX23	1.3
NH	33	3031	1	NH1	1.4
NH	33	3032	1	NH1	1.4
NH	33	3034	1	NH1	1.4
NH	33	3036	1	NH1	1.4
NH	33	3038	1	NH1	1.4
NH	33	3042	1	NH1	1.4
NH	33	3044	1	NH1	1.4
NH	33	3045	1	NH1	1.4
NH	33	3053	1	NH1	1.4
NH	33	3054	1	NH1	1.4
NH	33	3077	1	NH1	1.4
NH	33	3101	1	NH1	1.4
NH	33	3102	1	NH1	1.4
NH	33	3103	1	NH1	1.4
NH	33	3104	1	NH1	1.4
NH	33	3106	1	NH1	1.4
NH	33	3109	1	NH1	1.4
NH	33	3110	1	NH1	1.4
NH	33	3218	1	NH1	1.4
NH	33	3220	1	NH1	1.4
NH	33	3223	1	NH1	1.4
NH	33	3225	1	NH1	1.4
NH	33	3226	1	NH1	1.4
NH	33	3227	1	NH1	1.4
NH	33	3237	1	NH1	1.4
NH	33	3246	1	NH1	1.4
NH	33	3249	1	NH1	1.4
NH	33	3253	1	NH1	1.4
NH	33	3254	1	NH1	1.4
NH	33	3256	1	NH1	1.4
NH	33	3259	1	NH1	1.4
NH	33	3261	1	NH1	1.4
NH	33	3269	1	NH1	1.4
NH	33	3276	1	NH1	1.4
NH	33	3290	1	NH1	1.4
NH	33	3291	1	NH1	1.4
NH	33	3801	1	NH1	1.4
NH	33	3809	1	NH1	1.4
NH	33	3810	1	NH1	1.4
NH	33	3811	1	NH1	1.4
NH	33	3812	1	NH1	1.4
NH	33	3813	1	NH1	1.4
NH	33	3814	1	NH1	1.4
NH	33	3816	1	NH1	1.4
NH	33	3817	1	NH1	1.4
NH	33	3818	1	NH1	1.4
NH	33	3819	1	NH1	1.4
NH	33	3820	1	NH1	1.4
NH	33	3823	1	NH1	1.4
NH	33	3824	1	NH1	1.4
NH	33	3825	1	NH1	1.4
NH	33	3826	1	NH1	1.4
NH	33	3827	1	NH1	1.4
NH	33	3830	1	NH1	1.4
NH	33	3832	1	NH1	1.4
NH	33	3833	1	NH1	1.4
NH	33	3835	1	NH1	1.4
NH	33	3836	1	NH1	1.4
NH	33	3837	1	NH1	1.4
NH	33	3838	1	NH1	1.4
NH	33	3839	1	NH1	1.4
NH	33	3840	1	NH1	1.4
NH	33	3841	1	NH1	1.4
NH	33	3842	1	NH1	1.4
NH	33	3844	1	NH1	1.4
NH	33	3845	1	NH1	1.4
NH	33	3846	1	NH1	1.4
NH	33	3847	1	NH1	1.4
NH	33	3848	1	NH1	1.4
NH	33	3849	1	NH1	1.4
NH	33	3850	1	NH1	1.4
NH	33	3851	1	NH1	1.4
NH	33	3852	1	NH1	1.4
NH	33	3853	1	NH1	1.4
NH	33	3854	1	NH1	1.4
NH	33	3855	1	NH1	1.4
NH	33	3856	1	NH1	1.4
NH	33	3857	1	NH1	1.4
NH	33	3858	1	NH1	1.4
NH	33	3860	1	NH1	1.4
NH	33	3861	1	NH1	1.4
NH	33	3862	1	NH1	1.4
NH	33	3864	1	NH1	1.4
NH	33	3865	1	NH1	1.4
NH	33	3867	1	NH1	1.4
NH	33	3868	1	NH1	1.4
NH	33	3869	1	NH1	1.4
NH	33	3870	1	NH1	1.4
NH	33	3871	1	NH1	1.4
NH	33	3872	1	NH1	1.4
NH	33	3873	1	NH1	1.4
NH	33	3874	1	NH1	1.4
NH	33	3875	1	NH1	1.4
NH	33	3878	1	NH1	1.4
NH	33	3882	1	NH1	1.4
NH	33	3883	1	NH1	1.4
NH	33	3884	1	NH1	1.4
NH	33	3885	1	NH1	1.4
NH	33	3886	1	NH1	1.4
NH	33	3887	1	NH1	1.4
NH	33	3890	1	NH1	1.4
NH	33	3894	1	NH1	1.4
MN	27	55001	2	MN2	1.8
MN	27	55009	2	MN2	1.8
MN	27	55016	2	MN2	1.8
MN	27	55018	2	MN2	1.8
MN	27	55020	2	MN2	1.8
MN	27	55024	2	MN2	1.8
MN	27	55026	2	MN2	1.8
MN	27	55027	2	MN2	1.8
